"Union Membership, Coverage, Density and Employment by State, 2005 (details in table note)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,,,,,,
88,Nevada,Public,318,"118,568","33,392","37,957",28.2,32.0,,,,,,
88,Nevada,Priv. Construction,309,"120,864","24,221","25,322",20.0,21.0,,,,,,
88,Nevada,Priv. Manufacturing,116,"43,903","3,447","3,854",7.9,8.8,,,,,,
12,New Hampshire,Total,"3,908","627,359","65,022","72,105",10.4,11.5,,,,,,
12,New Hampshire,Private,"3,350","540,432","21,677","24,383",4.0,4.5,,,,,,
12,New Hampshire,Public,558,"86,928","43,345","47,722",49.9,54.9,,,,,,
12,New Hampshire,Priv. Construction,213,"35,058","2,639","2,983",7.5,8.5,,,,,,
12,New Hampshire,Priv. Manufacturing,609,"97,051","4,282","4,574",4.4,4.7,,,,,,
22,New Jersey,Total,"3,997","3,868,492","791,272","837,738",20.5,21.7,,,,,,
22,New Jersey,Private,"3,338","3,230,812","382,223","403,020",11.8,12.5,,,,,,
22,New Jersey,Public,659,"637,680","409,048","434,718",64.1,68.2,,,,,,
22,New Jersey,Priv. Construction,185,"180,549","47,056","48,096",26.1,26.6,,,,,,
22,New Jersey,Priv. Manufacturing,439,"430,093","72,475","75,094",16.9,17.5,,,,,,
85,New Mexico,Total,"1,678","777,367","62,835","83,337",8.1,10.7,,,,,,
85,New Mexico,Private,"1,234","579,141","19,940","25,603",3.4,4.4,,,,,,
85,New Mexico,Public,444,"198,226","42,894","57,734",21.6,29.1,,,,,,
85,New Mexico,Priv. Construction,123,"61,699","6,160","6,160",10.0,10.0,,,,,,
85,New Mexico,Priv. Manufacturing,68,"32,587","2,154","3,387",6.6,10.4,,,,,,
21,New York,Total,"7,653","8,008,033","2,089,728","2,201,200",26.1,27.5,,,,,,
21,New York,Private,"6,180","6,495,959","1,047,617","1,111,913",16.1,17.1,,,,,,
21,New York,Public,"1,473","1,512,074","1,042,111","1,089,287",68.9,72.0,,,,,,
21,New York,Priv. Construction,363,"386,083","88,879","95,529",23.0,24.7,,,,,,
21,New York,Priv. Manufacturing,622,"633,541","103,764","109,493",16.4,17.3,,,,,,
56,North Carolina,Total,"3,571","3,630,896","106,964","142,597",2.9,3.9,,,,,,
56,North Carolina,Private,"2,960","3,031,276","55,007","74,413",1.8,2.5,,,,,,
56,North Carolina,Public,611,"599,620","51,957","68,184",8.7,11.4,,,,,,
56,North Carolina,Priv. Construction,287,"293,375","1,203","3,443",0.4,1.2,,,,,,
56,North Carolina,Priv. Manufacturing,557,"554,071","19,361","22,523",3.5,4.1,,,,,,
44,North Dakota,Total,"2,346","288,899","21,005","26,438",7.3,9.2,,,,,,
44,North Dakota,Private,"1,832","226,977","8,202","9,746",3.6,4.3,,,,,,
44,North Dakota,Public,514,"61,923","12,804","16,692",20.7,27.0,,,,,,
44,North Dakota,Priv. Construction,94,"11,875","1,068","1,068",9.0,9.0,,,,,,
44,North Dakota,Priv. Manufacturing,173,"21,741","1,679","1,892",7.7,8.7,,,,,,
31,Ohio,Total,"5,366","5,038,508","804,273","866,265",16.0,17.2,,,,,,
31,Ohio,Private,"4,581","4,304,368","466,478","497,120",10.8,11.5,,,,,,
31,Ohio,Public,785,"734,140","337,795","369,145",46.0,50.3,,,,,,
31,Ohio,Priv. Construction,252,"234,079","50,242","51,924",21.5,22.2,,,,,,
31,Ohio,Priv. Manufacturing,978,"917,494","194,114","196,669",21.2,21.4,,,,,,
73,Oklahoma,Total,"1,978","1,431,816","76,728","90,980",5.4,6.4,,,,,,
73,Oklahoma,Private,"1,585","1,150,461","33,130","38,409",2.9,3.3,,,,,,
73,Oklahoma,Public,393,"281,355","43,598","52,570",15.5,18.7,,,,,,
73,Oklahoma,Priv. Construction,115,"84,211","1,206","1,951",1.4,2.3,,,,,,
73,Oklahoma,Priv. Manufacturing,216,"156,685","8,419","8,419",5.4,5.4,,,,,,
92,Oregon,Total,"2,307","1,470,228","212,844","231,393",14.5,15.7,,,,,,
92,Oregon,Private,"1,915","1,228,829","94,817","104,893",7.7,8.5,,,,,,
92,Oregon,Public,392,"241,399","118,027","126,500",48.9,52.4,,,,,,
92,Oregon,Priv. Construction,134,"89,424","9,380","9,380",10.5,10.5,,,,,,
92,Oregon,Priv. Manufacturing,312,"204,290","21,905","25,584",10.7,12.5,,,,,,
23,Pennsylvania,Total,"5,968","5,455,581","752,537","817,549",13.8,15.0,,,,,,
23,Pennsylvania,Private,"5,166","4,734,237","402,400","429,993",8.5,9.1,,,,,,
23,Pennsylvania,Public,802,"721,344","350,137","387,556",48.5,53.7,,,,,,
23,Pennsylvania,Priv. Construction,308,"289,586","58,065","61,589",20.1,21.3,,,,,,
23,Pennsylvania,Priv. Manufacturing,870,"790,168","126,767","132,086",16.0,16.7,,,,,,
15,Rhode Island,Total,"3,242","493,960","78,780","83,098",15.9,16.8,,,,,,
15,Rhode Island,Private,"2,784","426,378","35,797","38,261",8.4,9.0,,,,,,
15,Rhode Island,Public,458,"67,582","42,983","44,837",63.6,66.3,,,,,,
15,Rhode Island,Priv. Construction,145,"22,544","4,124","4,124",18.3,18.3,,,,,,
15,Rhode Island,Priv. Manufacturing,482,"72,978","6,820","7,456",9.3,10.2,,,,,,
57,South Carolina,Total,"2,205","1,739,427","40,031","57,859",2.3,3.3,,,,,,
57,South Carolina,Private,"1,790","1,417,796","16,223","23,432",1.1,1.7,,,,,,
57,South Carolina,Public,415,"321,632","23,808","34,427",7.4,10.7,,,,,,
57,South Carolina,Priv. Construction,146,"121,756",701,701,0.6,0.6,,,,,,
57,South Carolina,Priv. Manufacturing,398,"311,222","9,686","11,403",3.1,3.7,,,,,,
45,South Dakota,Total,"2,910","350,178","20,540","28,722",5.9,8.2,,,,,,
45,South Dakota,Private,"2,359","286,458","7,852","9,914",2.7,3.5,,,,,,
45,South Dakota,Public,551,"63,720","12,688","18,808",19.9,29.5,,,,,,
45,South Dakota,Priv. Construction,161,"20,178","1,305","1,412",6.5,7.0,,,,,,
45,South Dakota,Priv. Manufacturing,339,"40,481","2,200","2,951",5.4,7.3,,,,,,
62,Tennessee,Total,"2,349","2,367,733","128,093","155,506",5.4,6.6,,,,,,
62,Tennessee,Private,"1,977","1,999,627","65,049","77,507",3.3,3.9,,,,,,
62,Tennessee,Public,372,"368,106","63,043","77,999",17.1,21.2,,,,,,
62,Tennessee,Priv. Construction,143,"144,518","6,695","7,708",4.6,5.3,,,,,,
62,Tennessee,Priv. Manufacturing,391,"388,602","27,027","32,298",7.0,8.3,,,,,,
74,Texas,Total,"8,450","9,485,249","506,173","590,291",5.3,6.2,,,,,,
74,Texas,Private,"7,056","7,945,424","247,037","279,894",3.1,3.5,,,,,,
74,Texas,Public,"1,394","1,539,825","259,136","310,397",16.8,20.2,,,,,,
74,Texas,Priv. Construction,644,"737,694","21,483","23,814",2.9,3.2,,,,,,
74,Texas,Priv. Manufacturing,872,"995,227","71,226","76,757",7.2,7.7,,,,,,
87,Utah,Total,"2,539","1,034,707","50,511","63,201",4.9,6.1,,,,,,
87,Utah,Private,"2,099","861,281","23,286","29,271",2.7,3.4,,,,,,
87,Utah,Public,440,"173,427","27,225","33,930",15.7,19.6,,,,,,
87,Utah,Priv. Construction,183,"77,547","5,772","7,092",7.4,9.1,,,,,,
87,Utah,Priv. Manufacturing,275,"109,378","2,003","2,382",1.8,2.2,,,,,,
13,Vermont,Total,"2,698","286,514","31,060","37,331",10.8,13.0,,,,,,
13,Vermont,Private,"2,224","237,392","12,151","13,303",5.1,5.6,,,,,,
13,Vermont,Public,474,"49,122","18,909","24,028",38.5,48.9,,,,,,
13,Vermont,Priv. Construction,165,"18,078",525,525,2.9,2.9,,,,,,
13,Vermont,Priv. Manufacturing,339,"35,586","1,899","2,103",5.3,5.9,,,,,,
54,Virginia,Total,"3,944","3,406,312","164,580","210,524",4.8,6.2,,,,,,
54,Virginia,Private,"3,142","2,711,624","92,155","111,418",3.4,4.1,,,,,,
54,Virginia,Public,802,"694,688","72,425","99,106",10.4,14.3,,,,,,
54,Virginia,Priv. Construction,303,"261,277","6,734","9,447",2.6,3.6,,,,,,
54,Virginia,Priv. Manufacturing,349,"302,905","24,702","27,837",8.2,9.2,,,,,,
91,Washington,Total,"3,189","2,746,462","523,305","558,916",19.1,20.4,,,,,,
91,Washington,Private,"2,565","2,223,578","254,336","269,610",11.4,12.1,,,,,,
91,Washington,Public,624,"522,884","268,969","289,306",51.4,55.3,,,,,,
91,Washington,Priv. Construction,173,"153,525","30,686","30,686",20.0,20.0,,,,,,
91,Washington,Priv. Manufacturing,359,"314,182","55,709","56,403",17.7,18.0,,,,,,
55,West Virginia,Total,"1,933","687,946","99,052","106,686",14.4,15.5,,,,,,
55,West Virginia,Private,"1,507","541,578","57,616","61,727",10.6,11.4,,,,,,
55,West Virginia,Public,426,"146,368","41,436","44,959",28.3,30.7,,,,,,
55,West Virginia,Priv. Construction,114,"41,898","10,086","11,116",24.1,26.5,,,,,,
55,West Virginia,Priv. Manufacturing,172,"61,149","13,051","13,051",21.3,21.3,,,,,,
35,Wisconsin,Total,"3,600","2,550,975","410,060","438,125",16.1,17.2,,,,,,
35,Wisconsin,Private,"3,131","2,218,374","245,377","259,479",11.1,11.7,,,,,,
35,Wisconsin,Public,469,"332,602","164,682","178,646",49.5,53.7,,,,,,
35,Wisconsin,Priv. Construction,152,"117,639","29,332","30,618",24.9,26.0,,,,,,
35,Wisconsin,Priv. Manufacturing,733,"507,981","95,845","98,603",18.9,19.4,,,,,,
83,Wyoming,Total,"2,316","227,943","18,019","21,618",7.9,9.5,,,,,,
83,Wyoming,Private,"1,754","174,089","9,792","11,344",5.6,6.5,,,,,,
83,Wyoming,Public,562,"53,854","8,226","10,274",15.3,19.1,,,,,,
83,Wyoming,Priv. Construction,171,"17,278","1,277","1,385",7.4,8.0,,,,,,
83,Wyoming,Priv. Manufacturing,78,"7,287",936,936,12.8,12.8,,,,,,
,,,,,,,,,,,,,,
"Data Sources: Current Population Survey (CPS) Outgoing Rotation Group (ORG) Earnings Files, 2005. Sample includes",,,,,,,,,,,,,,
"employed wage and salary workers, ages 16 and over. Variable definitions are: State Code=Census state code  used ",,,,,,,,,,,,,,
"in CPS, Obs=CPS sample size, Employment=wage and salary employment, Members=employed workers who are union",,,,,,,,,,,,,,
"members, Covered=workers covered by a collective bargaining agreement, %Mem=percent of employed workers who",,,,,,,,,,,,,,
"are union members, and %Cov=percent of employed workers who are covered by a collective bargaining agreement. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
© 2006 by Barry T. Hirsch and David A. Macpherson.  The use of data requires citation.,,,,,,,,,,,,,,
